19/02/2016-00:05:26
TIME	NETW	INTERFACE	RECV[B/s]	SENT[B/s]
TIME	PROC	PID	NAME	RES[B]	VIRT[B]	CPU[%]
0 NETW lo 0 0
0 NETW wlan0 0 0
0 NETW eth0 0 0
0 PROC 1 init 4890624 35135488 0.0
0 PROC 2 kthreadd 0 0 0.0
0 PROC 3 ksoftirqd/0 0 0 0.0
0 PROC 5 kworker/0:0H 0 0 0.0
0 PROC 7 rcu_sched 0 0 0.0
0 PROC 8 rcu_bh 0 0 0.0
0 PROC 9 rcuos/0 0 0 0.0
0 PROC 10 rcuob/0 0 0 0.0
0 PROC 11 migration/0 0 0 0.0
0 PROC 12 watchdog/0 0 0 0.0
0 PROC 13 watchdog/1 0 0 0.0
0 PROC 14 migration/1 0 0 0.0
0 PROC 15 ksoftirqd/1 0 0 0.0
0 PROC 17 kworker/1:0H 0 0 0.0
0 PROC 18 rcuos/1 0 0 0.0
0 PROC 19 rcuob/1 0 0 0.0
0 PROC 20 watchdog/2 0 0 0.0
0 PROC 21 migration/2 0 0 0.0
0 PROC 22 ksoftirqd/2 0 0 0.0
0 PROC 24 kworker/2:0H 0 0 0.0
0 PROC 25 rcuos/2 0 0 0.0
0 PROC 26 rcuob/2 0 0 0.0
0 PROC 27 watchdog/3 0 0 0.0
0 PROC 28 migration/3 0 0 0.0
0 PROC 29 ksoftirqd/3 0 0 0.0
0 PROC 31 kworker/3:0H 0 0 0.0
0 PROC 32 rcuos/3 0 0 0.0
0 PROC 33 rcuob/3 0 0 0.0
0 PROC 34 watchdog/4 0 0 0.0
0 PROC 35 migration/4 0 0 0.0
0 PROC 36 ksoftirqd/4 0 0 0.0
0 PROC 37 kworker/4:0 0 0 0.0
0 PROC 38 kworker/4:0H 0 0 0.0
0 PROC 39 rcuos/4 0 0 0.0
0 PROC 40 rcuob/4 0 0 0.0
0 PROC 41 watchdog/5 0 0 0.0
0 PROC 42 migration/5 0 0 0.0
0 PROC 43 ksoftirqd/5 0 0 0.0
0 PROC 44 kworker/5:0 0 0 0.0
0 PROC 45 kworker/5:0H 0 0 0.0
0 PROC 46 rcuos/5 0 0 0.0
0 PROC 47 rcuob/5 0 0 0.0
0 PROC 48 watchdog/6 0 0 0.0
0 PROC 49 migration/6 0 0 0.0
0 PROC 50 ksoftirqd/6 0 0 0.0
0 PROC 52 kworker/6:0H 0 0 0.0
0 PROC 53 rcuos/6 0 0 0.0
0 PROC 54 rcuob/6 0 0 0.0
0 PROC 55 watchdog/7 0 0 0.0
0 PROC 56 migration/7 0 0 0.0
0 PROC 57 ksoftirqd/7 0 0 0.0
0 PROC 59 kworker/7:0H 0 0 0.0
0 PROC 60 rcuos/7 0 0 0.0
0 PROC 61 rcuob/7 0 0 0.0
0 PROC 62 khelper 0 0 0.0
0 PROC 63 kdevtmpfs 0 0 0.0
0 PROC 64 netns 0 0 0.0
0 PROC 65 perf 0 0 0.0
0 PROC 66 khungtaskd 0 0 0.0
0 PROC 67 writeback 0 0 0.0
0 PROC 68 ksmd 0 0 0.0
0 PROC 69 khugepaged 0 0 0.0
0 PROC 70 crypto 0 0 0.0
0 PROC 71 kintegrityd 0 0 0.0
0 PROC 72 bioset 0 0 0.0
0 PROC 73 kblockd 0 0 0.0
0 PROC 74 ata_sff 0 0 0.0
0 PROC 75 md 0 0 0.0
0 PROC 76 devfreq_wq 0 0 0.0
0 PROC 81 kswapd0 0 0 0.0
0 PROC 82 fsnotify_mark 0 0 0.0
0 PROC 83 ecryptfs-kthrea 0 0 0.0
0 PROC 95 kthrotld 0 0 0.0
0 PROC 96 kworker/2:1 0 0 0.0
0 PROC 97 kworker/3:1 0 0 0.0
0 PROC 102 acpi_thermal_pm 0 0 0.0
0 PROC 107 ipv6_addrconf 0 0 0.0
0 PROC 127 deferwq 0 0 0.0
0 PROC 128 charger_manager 0 0 0.0
0 PROC 180 kpsmoused 0 0 0.0
0 PROC 181 scsi_eh_0 0 0 0.0
0 PROC 182 scsi_tmf_0 0 0 0.0
